Code commune,Libell? des communes,Typo degr? de densit?,R?gion,Population municipale 2016,Part population dense (1),Part population interm?diaire (2),Part population peu dense (3),Part population tr?s peu dense (4)
1035,Belleydoux,4,84,326,0%,0%,0%,100%
1036,Valromey-sur-S?ran,3,84,1315,0%,0%,"73,3153638814016%","26,6846361185984%"
1037,B?nonces,4,84,298,0%,0%,0%,100%
1038,B?ny,3,84,783,0%,0%,"96,2214983713355%","3,77850162866449%"
1039,B?on,3,84,472,0%,0%,"99,7899159663866%","0,210084033613445%"
1040,B?r?ziat,3,84,501,0%,0%,"83,5835835835836%","16,4164164164164%"
1041,Bettant,2,84,771,0%,"81,331592689295%","16,710182767624%","1,95822454308094%"
1042,Bey,3,84,290,0%,0%,"97,504159733777%","2,49584026622296%"
1043,Beynost,2,84,4674,0%,"98,6255771502201%","0,73016213894556%","0,644260710834318%"
1044,Billiat,3,84,626,0%,0%,"98,3079526226734%","1,69204737732657%"
1045,Birieux,4,84,289,0%,0%,0%,100%
1046,Biziat,3,84,866,0%,0%,"97,5386376645678%","2,46136233543217%"
1047,Blyes,3,84,1017,0%,0%,"99,9058823529412%","0,0941176470588235%"
1049,La Boisse,2,84,3074,0%,"86,5410906881361%","13,048761962631%","0,410147349232873%"
1050,Boissey,3,84,345,0%,0%,"88,385269121813%","11,614730878187%"
1051,Bolozon,4,84,90,0%,0%,0%,100%
1052,Bouligneux,4,84,325,0%,0%,"40,5750798722045%","59,4249201277955%"
1053,Bourg-en-Bresse,2,84,43454,0%,"97,0097121533842%","2,92495382643766%","0,0653340201781608%"
1054,Bourg-Saint-Christophe,3,84,1353,0%,0%,"99,720377490388%","0,279622509612024%"
1056,Boyeux-Saint-J?rme,4,84,360,0%,0%,"59,7650513950073%","40,2349486049927%"
1057,Boz,3,84,525,0%,0%,100%,0%
1058,Br?gnier-Cordon,3,84,868,0%,0%,"97,7602905569007%","2,23970944309927%"
1060,Br?nod,3,84,544,0%,0%,"94,3304007820137%","5,66959921798631%"
1061,Brens,3,84,1196,0%,0%,"99,6618765849535%","0,338123415046492%"
1062,Bressolles,2,84,912,0%,"70,8051948051948%","27,3246753246753%","1,87012987012987%"
1063,Brion,3,84,523,0%,0%,"99,6306555863343%","0,369344413665743%"
1064,Briord,3,84,1004,0%,0%,"99,327246516098%","0,67275348390197%"
1065,Buellas,3,84,1814,0%,0%,"99,1121872477805%","0,887812752219532%"
1066,La Burbanche,4,84,71,0%,0%,0%,100%
1067,Ceignes,4,84,264,0%,0%,0%,100%
1068,Cerdon,3,84,798,0%,0%,"92,3533289386948%","7,64667106130521%"
1069,Certines,3,84,1573,0%,0%,"79,4383473208522%","20,5616526791478%"
1071,Cessy,2,84,4955,0%,"87,7977127268912%","12,2022872731088%",0%
1072,Ceyz?riat,3,84,3203,0%,0%,"99,75%","0,25%"
1073,Ceyz?rieu,3,84,1038,0%,0%,"94,7496353913466%","5,25036460865338%"
1074,Chalamont,3,84,2438,0%,0%,"93,5168195718654%","6,48318042813456%"
1075,Chaleins,3,84,1329,0%,0%,"83,0322352107687%","16,9677647892313%"
1076,Chaley,4,84,138,0%,0%,0%,100%
1077,Challes-la-Montagne,4,84,195,0%,0%,0%,100%
1078,Challex,3,84,1467,0%,0%,"97,508896797153%","2,49110320284697%"
1079,Champagne-en-Valromey,3,84,850,0%,0%,"76,0377358490566%","23,9622641509434%"
1080,Champdor-Corcelles,3,84,672,0%,0%,"68,8449848024316%","31,1550151975684%"
1081,Champfromier,3,84,744,0%,0%,"96,159122085048%","3,84087791495199%"
1082,Chanay,3,84,647,0%,0%,"98,5307621671258%","1,4692378328742%"
1083,Chaneins,3,84,913,0%,0%,"92,6344086021505%","7,36559139784946%"
1084,Chanoz-Chtenay,3,84,851,0%,0%,"97,4272930648769%","2,57270693512304%"
1085,La Chapelle-du-Chtelard,3,84,392,0%,0%,"74,0740740740741%","25,9259259259259%"
1087,Charix,4,84,295,0%,0%,0%,100%
1088,Charnoz-sur-Ain,3,84,951,0%,0%,"99,5771670190275%","0,422832980972516%"
1089,Chteau-Gaillard,2,84,2138,0%,"55,0623223267002%","44,7190028427728%","0,218674830527006%"
1090,Chtenay,4,84,342,0%,0%,0%,100%
1092,Chtillon-la-Palud,3,84,1649,0%,0%,"97,8960396039604%","2,1039603960396%"
1093,Chtillon-sur-Chalaronne,3,84,5095,0%,0%,"99,4248151191454%","0,57518488085456%"
1094,Chavannes-sur-Reyssouze,3,84,764,0%,0%,"93,5316946959897%","6,46830530401035%"
1095,Nivigne et Suran,4,84,816,0%,0%,"65,04914004914%","34,9508599508599%"
1096,Chaveyriat,3,84,1036,0%,0%,"97,6145038167939%","2,38549618320611%"
1098,Chazey-Bons,3,84,1113,0%,0%,"85,1286524204099%","14,8713475795901%"
1099,Chazey-sur-Ain,3,84,1549,0%,0%,"91,5350600126342%","8,46493998736576%"
1100,Cheignieu-la-Balme,4,84,142,0%,0%,0%,100%
1101,Chevillard,4,84,162,0%,0%,0%,100%
1102,Chevroux,3,84,974,0%,0%,"90,6137184115523%","9,38628158844765%"
